verified_id,reviews
1, camera full featured entry level seasoned pro want go one models new cameras looking step point shoot camera something much powerful fine first step camera gives full control parameters photography includes broad spectrum automation well lets work way using manual tools beginner camera carry years begin chafing something bit substantial camera body light solidly built controls accessible via buttons exterior camera well easily navigable menu view screen generous bright easily readable settings camera also offers helpful shooting high glare settings forget bring glasses included lenses cover good range distances may want invest wide angle lens good getting images although better ones actually cost camera lens get close many subjects expect compete zooms see point shoot cameras changing lenses easy fast ample settings one shot continuous shot timed delay shooting shooting active event get great movement shots want get picture easy shooting continuous mode camera pause five shots let data catch found three shots gets keeps getting delay lenses shoot little slow side slight hesitation pressing shutter release also noticed although kit lens equipped feature really much consider adding tripod purchase picture quality excellent always shoot raw camera offers six raw quality settings choose shoot simultaneously know lot formats want learn great formats side side comparisons camera infrared sensor wish use remote use canon camera connect mobile available devices sadly windows mobile devices though addition letting control camera remotely mobile also let view pictures camera bigger screens use great see real time image composition screen believe pretty easy use far found stable reliable although phone camera also capable shooting movies terrific feature keep mind master lenses order stay focus efficient zooms pans overall great camera canon lenses used ready upgrade professional camera back able keep lens kit accessories
2, back hay day film owned canon cameras tell many rolls film went undeveloped invention smart phones camera relegated closet never see light day tracked prices digital cameras last decade never felt like could justify purchasing digital must say impressed value modern day digital cameras say lightly last three trips took documented phones many pictures translate way want since get complete camera less smart phone blow away ability integrate camera cell phone canon capability connect smart phone mount camera tripod use phone digital display picture want post whenever want also nothing worse missing photo phone almost battery life learned features tell scratching surface traveling give best worlds competition made camera manufactures make better cameras also inexpensive go check purchased rebel canon makes fine quality product lot user support long rebel around least years though may choice serious photographers end day easy use difference make
3, given camera yet developed posted photos camera without definitely give purchased camera primarily developing business occasional vacation yet reached point actually photos printed appear great computer screen screen beginner highly suggest using manual setting first adjusting go allows become familiar amp aperture quality photos interested process learning like become comfortable understand advanced settings regards size weight perfect tiny hands find hunched adjust hands frequently lightweight say less standard lens attachment setting camera pretty easy reading manual first like around connecting found quick easy set although remember turn setting afterwards otherwise able access functions connecting computer overall beginner simply looking substitute camera currently great option definitely makes photography less hobby profession afraid research help long run
4, rebel easy use automatic modes especially one used bought new replace older rebel years old damaged top lens cleaner fluid bottle squirted wet camera lens cannon longer repaired seemed better buy new camera try repair curse modern society like predecessor easy casual beginning photographer use automatic mode settings dial example scenery close flowers also allows flexibility manual settings one wants experiment shoot low light situations lens quality seems good although yet tested lens low light conditions one minor drawback first tried camera taking photos lake park overlooking water used automatic mode photos came washed however experimenting settings colors seemed true another minor annoyance although battery size one used older rebel connecting points different use two old spare batteries annoying way manufacturers keep making minor changes make obsolete previously good pieces equipment nevertheless seems fine camera uses ranging taking pictures fast moving children landscape shots
5, much research beat deal felt like huge risk buying noticed reviews said things missing worried spending much money something go wrong glad took risk perfect everything even canon bag assuming chose premium bundle bag really fits camera lenses couple small items buying bigger bag anyways none made difference seriously camera perfect condition everything registered camera canon gear comes really great mean tell cheap work yes works think everything works fine except flash drive metal piece port came going use flash drive anyways camera contacted wanting know everything sure would love help problems may seriously best deal happy everything
6, camera takes fantastic pictures compared point shoot camera however pain get everything set let fool completely expected act like network attached storage something getting transfer trouble worth also advanced features require using interface simply work took back spending couple hours fiddling trying get work reasonably still painful work settings one thing camera video mode good reason camera good able double decent would make happen wound buying instead video rough better nothing canon takes pictures quality costs price matched price connection easier deal canon
7, purchased canon rebel best buy days ago anticipation week long trip using camera days totally dead contacted canon customer service walked several procedures make sure battery card issue minute informed circuit board issue course nothing done ship camera canon hope repair course leaves without camera trip amazingly asked canon send confirm called within warranty period reported defect told canon customer service ability send outgoing provide service able send completely ridiculous clearly designed make frustrating customers issues makes equivalent product similar price suspect product lasts longer one week
8, wanted good photographing birds lake scenery wind farms animals people flowers professional photographer know enough using pro features couple high end phones pro mode testing depth field photography camera far results good price point buying camera lens treat photograph lake standard lens worked great photographing recent graduation ceremony using sport mode camera able capture students throwing hats air ceremony results great recommendation spend time researching taking quality photos excellent camera amazing work know point shoot option auto works great recommend option digital dollar day great package
9, great camera exactly described always loved taking pictures wanted take notch simpler camera ten years wanted option learn manually adjust settings use lenses create effect time wanted something simple could use active setting five children needed quick point snap option since one month mostly used automatic settings loved increased quality prints clear easy blown whereas past camera took good pictures high quality enough blow frame think camera great beginners want dive deeper photography professional use adjustment carry around larger camera worth better quality pictures
10, camera exactly looking want get photography takes great quality photos near far shots plus comes long bundle major plus since cost definitely camera kit buy want spend ton want risk great quality see camera focus shutter constantly get set exactly needs model quickly adjusts needs go without constant however big upgrade hefty price overall would say way go great quality photos beginner want take great family time pictures
11, kit great novice photographers getting started also perfect personal use achieve higher quality snap shots cell phone camera offer two pieces kit come would recommend right away would memory card lens filter lens filter protect accidental scratches way cheaper replace whole lens plan photographing low light want upgrade flash well camera good flash built fact make sure never use usually results terrible pictures overall suggest kit great camera
12, used point shoot camera still love use lot decided time also get back camera options retire hopefully traveling camera compact camera canon definitely heavier chunky maneuver used camera years past knowledge begin use camera many options would helpful training utilize offer told used include use product called store said longer point shoot canons past trusting another great products need discover offer us good problem guess thanks canon
13, purchased camera start learning photography actual photographer recommended pleased purchase easy use also lot different options shooting also purchased extra use really get grasp camera came instructions course since looked cool breakdown camera setting option camera already taken really awesome pictures family would definitely recommend someone interested photography interested taking good quality family photos
14, thrilled camera bought camera use trip year south seas islands rest society islands wanted something would catch great shot justice photography camera easy use follow directions getting camera ready anyone known mechanically challenged times easy takes great pictures good sharp images brilliant color excellent cameras provide product exceeded expectations bought camera best buy sure glad helpful made sure knew wanted also gave tips camera really appreciated ideal shopping experience great camera super service
15, camera around work horse canon user years recently jumped train recently wanted grab cheaper canon use family vacations mainly knew would throw bag worry scratches light performance par good performance fires frames second general photography good fit far kit lens honestly sold minute got never fan older loud slow cheaply built kit bought fine much better lens however likely sell well body camera works great great beginner camera travel great buy sale
16, liking photography class high school decided would buy camera assignments came figured would good camera get started would call one idiot camera camera feel like bit less idiot watched helping put together camera seems take great photos one thing wish could change could change would idea take picture without flash sure one idiot camera knowing price wanting get photography even taking great photos absolute must buy think disappointed
17, wanted something better camera want spend lot money especially camera buffs folks like take nice occasion kit fills bill shot great photos short time flawless rebel easy operate yet sophisticated features depth work second lens included also allows creativity variance would highly recommend set anyone due versatility price
18, love camera far great camera beginner well priced like two lenses case came camera would definitely recommend product think may use regular well one thing keep mind canon lenses great quality always upgrade body later choose love camera someone lot able send photos phone go cell range also best buy often offers photography classes great help new using camera definitely recommend buying set best buy forget memory chip
19, camera came nice bundle lenses camera bag wanted advance past point shoot pocket camera still learning process setting need use different lighting bought camera bundle reading buyer reviews thought reasonable price eventually find particular camera accessories slightly lower price best buy able take advantage months cash best buy gift card received job far pictures turned pretty good little practice belt expect great pro review great starter camera fits experience level
20, one gift daughter recently bought camera first digital owned canon point shoot digital cameras luck tough brand choice bought one mainly previous experience canon camera still trouble free years use lot business sometimes shoot pictures time shot new several times like shots get also ease use camera lot learn still fully automatic mode help learn helpful overall pleased otherwise would bought second one old daughter
21, looking getting quite read reviews looked cannon also spoke friend owned previous version camera glad got camera pictures beautiful fairly easy learn use recommend going cannon series video tutorials teach camera different elements also adjust settings different situations
22, purchased two canon camera two lenses one camera sent already complained stupid camera working either starting really know kind situation please refund send new one working perfectly really disappointed time finally decided never buy anything best buy trust best buy product know camera sent already never come back already thrown product thank
23, seen camera immediately wanted searched around see best camera initially made purchase cancelled ordered exact one best buy pickup day size camera easy manage heavy carry around neck auto mode take amazing pictures mode features great beginner took many modes recommend camera anyone
24, bought black felt like wanted buy camera want spend dollars considering wait black sale might exactly got bundle plus card wanted month saved fifty percent waited strongly recommend bit research pros cons camera screen camera move though time using anyway video quality quality good obviously best sound better overall give probably
25, days hard justify dropping ton money camera convenient actually good enough quality post however really really wanted something better trip coming person best buy offered lot advice recently come back similar trip highly recommended deal looking really glad listened camera came two lenses easy use novice limiting become experienced settings able shots would definitely recommend camera
26, camera great people want start photography easy understand handbook simple use camera great pet photography nature photography done friends well absolutely fell love photos received many compliments regarding quality photos editing big helper show unique style photography always rely solely camera
27, lot research cameras finally bought know little bit definitely professional happy one daughter started package came extended lens needed reviews came said big huge difference camera compared lower model capability bought mine black much absolutely love feature would paid extra hundred dollars love fact connect camera phone pictures phone love camera great buy
28, received camera using since new world photography found camera relatively easy use also like camera bag two lenses included though many agree lens par best still something getting added bonus complain going purchasing fifty canon lens soon wide angle lens soon take photography next level
29, amazed camera saving camera one right beginner also someone experience camera photo taking awesome came additional lens amp case reason decided buy want pass sale price believe great camera takes great quality photos instruction manual filled great tips fact lenses bought camera great addition fun time new camera
30, able find better camera accessories included price point bought could take newborn photos versus paying someone price able take professional looking photos camera little guy grows attached quick simple photo cat see quality
31, given camera mothers day gift love first given faulty shutter return inconvenient best buy made easy quick exchange beginner comes cameras far user friendly easy learn pictures crisp clear without adjusting settings time favorite part camera capability easy transfer photos directly phone without connecting computer never go back camera without
32, one coworkers inspired get camera excellent photography work looking final results amazed photos realistic beautiful wanted create something like asked advice told get camera since black deal decided take shot snapped many pictures satisfied quality portrayed think camera definitely worth buy especially beginner knowing anything photography picked quickly easy camera use able work way around less week definitely satisfied buy
33, worth every penny phenomenal pictures bought camera take river cruise best investment made year even distance photos lens came clear focused viewing friend asked camera told specifics great deal got best buy went bought never camera infected need shot week period got love digital photography photo camera total quantity shot easily fit card
34, love canon rebel first camera could made better purchase beginner cameras pro handle make professional pictures every picture taken canon rebel going look gorgeous absolutely professional highly recommend canon rebel anyone oh awesome bonus built love love love go get canon rebel wont disappointed promise
35, work one shops military college wanted use personal camera instead renting one read good chunk reviews camera say definitely meets expectations great camera someone photography field fact attach different kind lens great distance action shots really hard catch great deal pass highly recommend camera
36, seems like awesome bundle get started photography camera solid still discovering use sure scratch surface capabilities like came two lens options couple complaints larger lens image stabilization lenses come storage pouches lens hood included camera bag pretty bare bones small included camera neck strap skinny uncomfortable around neck
37, hard justify large camera expense given quality accessibility days however price right rebel bit bullet purchased given upcoming trip early days camera still come back update review anything changes really satisfied quality improvement images able capture long lens also game easy navigate novice enough access manual modes grow photographer
38, stopped best buy store looking camera would good beginners since never owned camera phone spoke one associates store recommended one trusted opinion could imaging better camera took trip right buying happy pictures better definitely would recommend
39, still learning far enjoyed using digital part rather film like used bag really like small hold camera well lens camera get accessories bag accommodate need bag accommodate lenses without rip partitions time change lenses time consuming lens protected rattling around bag would rather use old camera bag
40, able use lenses attachments old canon film camera used advantage save film development used also ability creative features camera allows use even using several years point shoot camera manage well even publication photos got felling
41, far good easy enough put pieces place bit harder double check registration went found best buy package took care relief far use one lens regular zooming look hard switch lenses sturdy camera works good low light couple pictures contests already winners place times shots intended average
42, bought camera replacement stolen vehicle never owned canon always loving camera currently enrolled adult camera course learn technical aspects first day new camera went zoo camera right box took great pictures able canon programs assisted pictures cropping user friendly auto selection used take pictures thanks great product
43, camera since old film camera back digital cameras yet missing ability change lenses use different filters short time camera pleased soon weather turns spring spending lot time outside addition step rings able use old filters lenses looking forward lots great pictures near future pictures taken look extremely good colors seem almost jump right computers screen
44, wanted beginners camera would allow begin take decent wildlife shots took advice member staff best buy knowing little nothing cameras except things picked research boxed set reprints excellent value easy use allows take great pictures good round camera good family close ups nature longer distance wildlife shots want stronger really good long distance shots better start saving
45, camera package include cleaning kit however supplies ran receive substitute daughter really liked idea everything included told taken order said cancel order assured best buys always reasonable would fix called squad told call customer service hold minutes finally hang please make right send cleaning kit thanks
46, bought daughter could get lots great pictures two grandsons wanting real camera could set photo camera vs comparable chose one user interface looked like would easier novice user knew seemed difficult deep would explore far good really likes getting pictures wanted
47, complete set everything need taking great pictures quality outstanding would expect canon perfect camera someone least basic understanding camera jargon like fish eye panoramic example also think would best someone least years old instruction book included great tool learning camera features able start taking pictures within minutes reading instruction book
48, camera easy work right box came multiple lenses easily comes apart using took worked great battery lasts really long quality device great pictures look phenomenal settings overwhelming beginner highly recommend right budget worked really well trip sure taking future trips
49, rebel camera great camera home easy get used using even use lot different settings easy remember screen messages takes skill get used catching action shots camera gives ability without remember change bunch settings easy lens change finding need intermediate lens two come package
50, awesome camera love back purchased canon rebel camera non digital purchasing digital since technology changes quickly love camera though using lot youth hockey action shots netting settings allow manually focus player netting lighting options important every ice varies truly enjoying camera
51, lot research decided purchase camera basically boils things new never purchased point shoot camera great starter camera learn ropes lenses came camera pretty basic decent larger lens standard lens quite bit price better cameras lenses know drop cash interchangeable lenses pretty standard feature cameras
52, camera bought beginning get photography pretty happy experience cameras fully satisfied pictures took bit blurry focus even using feature manual mode getting well lit sharp stable image without using flash difficult would either blurry noisy great long exposure pictures though
53, really impressed camera year find best really suits needs easy learn minimal learning curve old school man quality awesome shoot lot well pictures beach reflections sun gulf rivers camera captures natural beauty creator wise good investment thanks canon best buy
54, great camera photos crisp works super quick much quicker older used nephew birthday captured amazing photos fast justified camera purchase one suggestion get different case case came camera useful always move open top gets cumbersome move lot snapping photos zoo wedding get camera bag zip open top said great camera
55, got wife loves moving needed something capture amazing northern lights job simple setup made quick start shooting box many options know wife go even farther screen pictures justice get onto phone computer see great shots actually plus built makes super easy wife quickly phone post ease great camera
56, chose rebel following reasons prefer buttons one side camera easily accessible thumb even looking canon lenses far quieter zooming focusing compared canon felt much solid someone never used camera helped take amazing pictures based auto settings
57, looking camera long time decided go ahead get sale know nothing types cameras thought would able take pictures grandchildren complicated camera idea much involved taking pictures think get used would doubt bought camera needs glad made purchase wanted one years never position get one
58, initially bought camera husband tired basic digital cameras although camera takes good pictures settings bit confusing take raw shots vs normal pictures lenses make camera heavy becomes hard hold still get pictures per second good tried taking pictures kids running action needless say returning
59, last used canon decided get back photography get something expensive good enough bundle fit bill well image sensor densest still takes pretty good pictures however take time read manual go tutorials lot options become overwhelming setting auto mode defeats purpose getting begin happy far
60, love camera photographer new mother picked could start capturing quality photos moments going way fast great quality user friendly easy lean two things wish different quality screen camera higher pictures look better phone computer external microphone great starter camera much needed upgrade
61, purchased camera daughter currently enrolled digital media course school class utilizes canon cameras wanted get one could use would familiar bundle everything could want get started photography pleased price features offered bundled lenses case great value well even received free memory card happy purchase
62, first little overwhelmed reading instructions using settings helped awhile practiced using settings found camera easy use found using camera fun takes great pictures clarity colors bright went falls used camera oh good memories
63, got camera daughter born cell phone picture moments lot options camera settings wise take getting used learning order special type pictures sharp subject blurry background auto mode works well meantime play around different modes see works best option great connect phone grab pictures want saving
64, bought sale first digital first canon disappointed lenses work great gotten excellent pictures set beats galaxy hands definitely worth money
65, bought trip great smoky comfortable trail took great photos top dome auto focus great taking easy snapshots starting switching manual focus allows greater control additionally canon use built transfer photos phone sharing social media easy definitely recommend buying card reader though well transferring computer quickly
66, husband got could start taking better pictures super frustrating use first times winging using features getting good results best buy recommended watch learn properly use taking great pictures ever since great bundle value camera extended lens battery cord carrying case
67, camera great starter good many cool features rebel models buttons seem little cheaper base lighter compared rebel screen close move audio input overall decent camera wan get photography money upgrade models
68, new cameras first might happier purchased camera bundle deal went took pictures impressed lots noise edges pictures interface camera seem intuitive returned extremely pleased never picked would probably great definitely step entry level market though
69, upgraded canon years old adjust ton settings camera unless necessary mainly like shoot mode works great everyday pictures produces nice quality photo also love ability photos straight makes great quality photo social media quick easy overall great camera
70, bought due children entering high school wanting capture memories move away camera packaged well arrived within best buy stated uses appears easy enough use get great looking pictures without needing professional photographer taking swing purchase price great camera family keep around wish would bought one sooner
71, first camera amateur photographer pretty good film camera given digital camera end composing pictures moved point amp shoot always missed art part taking pictures framing lens buy allow get back feel photography without complicated system great price
72, bought camera important trip resource take better pictures around grandson also taking photography school plans use get started find camera quite easy use especially automatic features still giving opportunity grow learning manual features get better pictures pleased quality pictures
73, daughter bought photography class pleased product overall good quality buy lenses types photos wanted take package came almost everything would need issue bought month black put sale less would give price adjustment considerable difference student limited income good best buy
74, multiple stores find bundle cheaper latest features camera canon rebel camera came extra saved roughly alone camera transfer images matter minutes love love love options store sales associated ordered great customer service awesome product
75, love bundle enough need beginner takes beautiful pictures easy use body two lenses camera bag price got could happier although would suggest camera audio quality ideal port going take pictures grab camera
76, canon worked great years dropped point fixing point new camera made sense every bit great love great camera capabilities film camera like lens quite bit though image stabilization must hold quite steady adequate tripod great set lenses excellent camera
77, make mistake although entry level camera requires reading study point shoot said great fun become used smart phone photographs pleasantly surprised clarity shots creativity camera offers presents challenges well worth efforts nice machine
78, good camera love features works well easy setup connect phone pictures good disappointed takes pictures per second came sale week two lenses comparable canon package deal without bag better camera care extra features better configuration save extra stay
79, bought camera bundle best buy deal used year extremely easy use configurations easy use auto features camera help amateur get good pictures mm lens extremely useful taking pictures require high used brothers graduation
80, camera outfit bargain sensor along canon lenses create incredibly sharp images stills video look amazing capturing details ways come close canon cameras recommend anyone needs equipment professional looking photographs
81, read couple reviews asked friend professional photographer camera great reviews purchased beginner comes photography training whatsoever able take pictures would cost hundreds dollars truly enjoyed camera still functions learning camera wanting take pictures everything
82, experience canon one best ever encountered quality camera feels nice sturdy hands taking pictures matter close landscape view seems take great quality pictures lenses come camera amazing easy attached detach camera great camera tourist personal use regardless camera make pictures look professionally taken
83, happy purchase far still lot learn camera everything wanted within budget concerns included bag wish came pocket lid extra memory cards battery plus another divider camera lenses area fortunately extra old camera bag fit wish came lens cap retainers like canon cameras
84, shooting pictures years rebel probably best bang buck previous camera kits pretty easy operating features lot specific controls beginner expert user alike auto settings allow get image want even still learning skills complaints
85, wanting camera little present year husband absolutely love glad got bundle black extra lens nice play sisters photography wanted something try maybe side hobby taking landscape pictures thing little sad get card supposed come free per ad
86, third canon camera first camera thus far expected currently taking camera class interesting note students canon rebel lens really need load full camera manual web site get camera features would nice filters included protect new lens looking purchase lens hood spare battery
87, looking better pictures phones point shoot camera giving us good protection storage included bag lens allows us get good action shots even stands accurate standard photo modes portrait action manual modes allow get bit artistic mood strikes overall good purchase
88, bought camera get nice photos daughter graduation events cell phone going cut really easy use spend little time figuring functions take great photos even auto mode lens bundle great really help far away audience old film canon rebel lot improved years
