unverified_id,reviews
1, great starter camera kit comes everything need minus memory card take great pictures even get bag room camera extras heard read many horror stories kit lenses pretty good even low light kit perfect beginner someone savvy want make big camera lot bells likely use buy lenses separately easy navigate learn use especially coming canon point shoot like went learned lot watching went canons helpful canon makes huge variety lenses interchangeable camera bodies problem upgrading picking lenses better quality suited shooting different things choose probably pick lens shortly fairly light easy carry compared many seen nice often canon camera connect works transferring photos computer phone tablet personally love downfall camera video quality may get somewhat better better quality lens right comparable galaxy edge takes entry level would realistic expect take extremely high quality video good easy learn starter camera kit reasonable price going find recommend
2, wanted upgrade without paying entire life savings bundle fantastic kit lens amazing however use much like need tripod also purchased canon lens well order order got absolutely amazing may wan invest lens well looking review overall rate reason articulated screen spend extra screen overall amazing love sincerely
3, first hate using quality long point shoot cameras years thought finally time get higher quality pictures takes nice pictures want quiet place people turn stare wanted camera could use take quality pictures children concerts mirror slam shutter loud would embarrassed use video terrible anything moves normal settings focus taking video change settings video horrible job focusing finally settles something motor loud sound quality video ruined finally unlike every point shoot owned take pictures video means turning dial way around taking picture returning video fee want return worst purchase ever
4, first camera totally amazed resolution pictures getting auto settings make easy beginner get amazing shots lens must want photograph wildlife bird enthusiast gotten amazing crisp clear close ups lens great landscapes family photos could happier selection wish instructions little easier assume already know lot different settings shutter speed functions camera offer free classes glad bought camera package
5, money ever spent personally camera excited sold reading lot reviews say much learn little even though really perfected extent knowledge cameras excited learn get camera already able take pictures tell feel lacking powers quality lack knowing use features camera experience come back update review
6, wanting years wanting spend much money needing phone upgrade took advantage upgrade gift card promotion applied gift card towards camera camera breeze use somebody point shoot experience every picture take amazed color quality photos far used auto focus settings currently reading watching take advantage potential camera added picture dog willing model
7, purchased camera used lot far used say amazing great quality amazing bundle perfect two lenses pouch put camera strap battery play def see couple overall get price quality bundle
8, owning using sold determined would get another also know people canon love decided give go learn use different modes camera quite nice say perfect since lighting difficult overall given really nice quality photos
9, camera easy use take amazing pictures features explained manual little study take excellent pictures perfect camera someone like wants take professional pictures would recommend getting squad coverage includes free services maintenance camera
10, wife loves camera got bells wants get professional feel pictures simple camera provide however probably buy book take class truly unlock everything camera offer battery life amazing feature makes transferring pictures snap
11, love love love camera came camera self told bundle extra bigger lens bit money gladly took bought use special occasion everyone loved pictures came nice clear
12, easy use perfect beginner overall price great deal quality amazing issue screen built ideal taking filming started filming mirror behind camera problem solved
13, got black deal good camera takes great pictures easy use many setting options enjoy another lens use standard trying experiment become better photographer
14, purchased camera reading several reviews best camera beginners liked bundle best buy came two lenses essential learning photography
15, camera amazing worried would spend lot money regret canon rebel exceeded expectations easy use takes great photos
16, live view slow like seconds fast video able utilize new silent smooth
17, local artist thrilled pictures taken far user friendly especially auto mode canon top quality
18, first great camera specially price kit
19, first camera thinking buy since last years well light weight easy carry good beginner
20, first camera quality excellent still learning phase came two lenses described
21, purchased camera wife still trying figure good tips really love
22, would say good camera got sale disappointed
23, camera really good camera money spend would recommend buy
24, gift excellent choice user friendly takes great photos
25, great camera price easy use takes beautiful pictures heavy
26, great camera package comes everything need starter
27, great product amazing need submit review
28, new using cameras loved great first time camera users
29, great camera nature pictures money well spent
30, nice camera works fine good journey
31, good product great price could better
